sol,month,min_temp,max_temp
821,9,-68,2
820,9,-68,-1
819,9,-71,0
818,8,-68,0
817,8,-69,0
816,8,-74,-7
815,8,-69,-8
814,8,-68,-3
813,8,-67,2
812,8,-75,3
811,8,-71,-6
810,8,-69,3
809,8,-70,-2
808,8,-67,7
807,8,-71,1
806,8,-69,2
805,8,-70,1
804,8,-73,0
803,8,-69,0
802,8,-69,7
801,8,-70,3
800,8,-67,-2
799,8,-70,-4
798,8,-67,0
797,8,-65,-1
796,8,-65,1
795,8,-68,1
794,8,-68,-5
793,8,-71,0
792,8,-71,0
791,8,-70,0
790,8,-68,2
789,8,-68,-4
788,8,-68,-5
787,8,-73,-7
786,8,-74,-4
785,8,-74,-1
784,8,-69,-4
783,8,-69,6
782,8,-71,9
781,8,-74,-5
780,8,-72,0
779,8,-71,6
778,8,-70,6
777,8,-72,8
776,8,-72,5
775,8,-71,3
774,8,-73,1
773,8,-70,8
772,8,-71,8
771,7,-71,9
770,7,-70,2
769,7,-73,4
768,7,-73,2
767,7,-71,9
766,7,-70,8
765,7,-73,5
764,7,-73,4
763,7,-78,6
762,7,-75,7
761,7,-72,7
760,7,-70,11
759,7,-77,8
758,7,-71,3
757,7,-73,5
756,7,-73,3
755,7,-74,2
754,7,-73,6
753,7,-73,8
752,7,-71,-3
751,7,-72,-6
750,7,-72,4
749,7,-73,3
748,7,-71,5
747,7,-73,6
746,7,-76,2
745,7,-74,1
744,7,-75,-2
743,7,-72,0
742,7,-72,0
741,7,-70,-1
740,7,-76,-2
739,7,-77,-1
738,7,-75,0
737,7,-74,3
736,7,-76,0
735,7,-73,1
734,7,-73,-3
733,7,-74,-2
732,7,-75,-8
731,7,-75,-4
730,7,-76,3
729,7,-75,3
728,7,-74,1
727,7,-76,1
726,7,-75,1
725,7,-73,-5
724,7,-74,1
723,7,-73,2
722,6,-74,1
721,6,-73,-5
720,6,-74,-1
719,6,-77,-1
718,6,-77,3
717,6,-76,5
716,6,-75,2
715,6,-73,2
714,6,-76,2
713,6,-76,-12
712,6,-77,-10
711,6,-75,-11
710,6,-77,-12
709,6,-73,-11
708,6,-76,1
707,6,-76,1
706,6,-76,0
705,6,-76,-9
704,6,-75,-5
703,6,-75,-6
702,6,-76,-2
701,6,-77,-1
700,6,-75,-2
699,6,-76,-2
698,6,-77,-3
697,6,-74,-4
696,6,-75,-2
695,6,-76,-1
694,6,-75,-1
693,6,-76,-2
692,6,-76,-4
691,6,-76,-8
690,6,-77,-7
689,6,-76,-6
688,6,-77,-5
687,6,-77,-2
686,6,-76,-4
685,6,-77,-2
684,6,-75,-9
683,6,-79,-7
682,6,-77,-16
681,6,-79,-17
680,6,-76,-15
679,6,-77,-13
678,6,-77,-17
677,6,-78,-12
676,6,-80,-17
675,6,-80,-12
674,6,-80,-17
673,6,-78,-16
672,6,-78,-16
671,6,-79,-15
670,6,-79,-7
669,6,-84,-4
668,6,-75,-4
667,5,-76,-7
666,5,-77,-7
665,5,-78,-4
664,5,-78,-8
663,5,-77,-10
662,5,-77,-11
661,5,-76,-10
660,5,-78,-12
659,5,-77,-14
658,5,-79,-10
657,5,-79,-6
656,5,-80,-13
655,5,-77,-14
654,5,-79,-8
653,5,-80,-13
652,5,-79,-12
651,5,-80,-8
650,5,-80,-11
649,5,-79,-14
648,5,-80,-20
647,5,-79,-19
646,5,-81,-16
645,5,-81,-8
644,5,-80,-10
643,5,-80,-14
642,5,-80,-19
641,5,-81,-19
640,5,-81,-11
639,5,-80,-16
638,5,-80,-12
637,5,-80,-18
636,5,-81,-19
635,5,-82,-10
634,5,-82,-20
633,5,-81,-15
632,5,-79,-18
631,5,-81,-18
